Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Czechia,Europe,4758465,44497,175,2,175,43494,407,3,,3
Italy,Europe,26715575,44794,300,1,300,196706,330,6,,6
Central African Republic,Africa,15440,320,,,,113,2,,,
Lithuania,Europe,1364902,48850,310,11,310,9799,351,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Ukraine,Europe,5539542,12667,493,1,493,109918,251,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
North Macedonia,Europe,350555,16826,9,,9,9975,479,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Slovakia,Europe,1877558,34401,36,1,36,21224,389,1,,1
Ireland,Europe,1734506,34939,222,4,222,9539,192,1,,1
Slovenia,Europe,1355769,64688,20,1,20,10034,479,2,,2
Saint Martin (French part),,12324,31879,,,,46,119,,,
